ID;NOM;ADRESSE;LAT;LON
CHU;PMU / CHUV;Rue du Bugnon 44, 1005 Lausanne;46.5248345;6.6409282
VDJ;eHnv - Site de la Vallée de Joux;Rue de l'Hôpital 3, 1347 Le Sentier;46.6016928;6.2214879
MOR;EHC - Site de Morges;Chemin du Crêt 2, 1110 Morges;46.5223927;6.4998227
NYO;GHOL - Site de Nyon;Chemin Monastier 10, 1260 Nyon;46.3834976;6.2275335
PAY;HIB - Site de Payerne;Avenue de la Colline 3, 1530 Payerne;46.8191656;6.9476826
EST;HIB - Site d'Estavayer-le-Lac;Rue de la Rochette, 1470 Estavayer-le-Lac;46.8507109;6.8447846
COE;Hôpital du Pays-d'Enhaut;Route de l'Hôpital 17, 1660 Château-d'Oex;46.4779185;7.1408348
YVE;eHnv - Site d'Yverdon-les-Bains;Rue d'Entremonts 11, 1400 Yverdon-les-Bains;46.7716418;6.6464918
STL;eHnv - Site de Saint-Loup;Saint-Loup 13, 1318 Pompaples;46.6669407;6.5043939
CEC;Groupe Hirslanden - Lausanne;Avenue Ruchonnet 53, 1003 Lausanne;46.5202457;6.6220467
REN;HRC - Site de Rennaz;Route du Vieux Séquoia 20, 1845 Rennaz;46.3802674;6.9202876
